SampleID,Source_ID,Sample_or_Control,Age,Taxonomic_ID,ParentLot,WildMonth,RecYear,PairedParent,AnimalSource,SourceCollector,Type_of_Source,JGL_EventID,csv_DateCollect,Sample_Collector,Sample_Type,Date1stFeed,Date2ndFeed,Da1F,Da2F,Meal,MealLot1,MealLot2,Project_Name,Treatment,Kit_Name,Lot_Number,csv_dateDNAextract,DNA_extractor,Qubit,Taq_Name,Taq_Lot,PCR_Experimenter,csv_PCRDate,PostPCR_QuantMethod,PostPCRDNA_ng_uL,Run_ID,Gene_Name,Amplicon_Size,Primers_Used
A0dF081314EMbID,A0dF081314EMb,Sample,A,Hverbana,USA092513F,,2013,A0dF081314EMb,USA,McClureE,Animal,AnaFeed2014_0813,2014_0813,McClureE,ILF,8/13/14,,0,none,NA,none,NA,NIH_Leech_Microbiome,Control,EMbeat ,101513EM071514,2014_0819,McClureE,12,Phusion,10010076,McClureE,2018_1105,Qubit,2.47,181109_M03075_0240_000000000-C2NFM,16Sv4,287,519F/806R
A0dF081314EMcID,A0dF081314EMc,Sample,A,Hverbana,USA092513F,,2013,A0dF081314EMc,USA,McClureE,Animal,AnaFeed2014_0813,2014_0813,McClureE,ILF,8/13/14,,0,none,NA,none,NA,NIH_Leech_Microbiome,Control,EMbeat ,101513EM071514,2014_0819,McClureE,9.14,Phusion,10010076,McClureE,2018_1105,Qubit,4.03,181109_M03075_0240_000000000-C2NFM,16Sv4,287,519F/806R
A0dF081314EMeID,A0dF081314EMe,Sample,A,Hverbana,USA092513F,,2013,A0dF081314EMe,USA,McClureE,Animal,AnaFeed2014_0813,2014_0813,McClureE,ILF,8/13/14,,0,none,NA,none,NA,NIH_Leech_Microbiome,Control,EMbeat ,101513EM071514,2014_0819,McClureE,12,Phusion,10010076,McClureE,2018_1105,Qubit,3.45,181109_M03075_0240_000000000-C2NFM,16Sv4,287,519F/806R
BAa2dF110414EMc-iD252,BAa2dF110414EMc,Sample,A,Hverbana,BBEZ091014,,2014,BAa2dF110414EMc,BBEZ,McClureE,Animal,BBEZadults2014_1104,2014_1104,McClureE,ILF,2/14/11,none,2,none,sBlood,14K20708,none,NIH_Leech_Microbiome,BBEZadults,EMbeat ,121214EM020415,2015_0325,LinA,4.07,Phusion,271607,McClureE,2016_1222,QIAxcel,0.51,161223_M03075_0094_000000000-ARN4N,16Sv4,287,519F/806R
BAa4dF110614EMaID23,BAa4dF110614EMa,Sample,A,Hverbana,BBEZ091014,,2014,BAa4dF110614EMa,BBEZ,McClureE,Animal,BBEZadults2014_1106,2014_1106,McClureE,ILF,2/14/11,none,4,none,sBlood,14K20708,none,NIH_Leech_Microbiome,BBEZadults,EMbeat ,121214EM032715,2015_0408,LinA,11.7,Phusion,181405,McClureE,2015_0410,QIAxcel,1.8,150417_M00704_0034_000000000-AELUC,16Sv4,287,519F/806R
BAa4dF110614EMbID24,BAa4dF110614EMb,Sample,A,Hverbana,BBEZ091014,,2014,BAa4dF110614EMb,BBEZ,McClureE,Animal,BBEZadults2014_1106,2014_1106,McClureE,ILF,2/14/11,none,4,none,sBlood,14K20708,none,NIH_Leech_Microbiome,BBEZadults,EMbeat ,121214EM032715,2015_0408,LinA,21.4,Phusion,181405,McClureE,2015_0410,QIAxcel,0.82,150417_M00704_0034_000000000-AELUC,16Sv4,287,519F/806R
BAa7dF110914EMaID5,BAa7dF110914EMa,Sample,A,Hverbana,BBEZ091014,,2014,BAa7dF110914EMa,BBEZ,McClureE,Animal,BBEZadults2014_1109,2014_1109,McClureE,ILF,2/14/11,none,7,none,sBlood,14K20708,none,NIH_Leech_Microbiome,BBEZadults,EMbeat ,121214EM032715,2015_0413,LinA,20.7,Phusion,181405,McClureE,2015_0417,QIAxcel,3.46,150505_M00704_0036_000000000-AF8HF,16Sv4,287,519F/806R
BAa7dF110914EMbID4,BAa7dF110914EMb,Sample,A,Hverbana,BBEZ091014,,2014,BAa7dF110914EMb,BBEZ,McClureE,Animal,BBEZadults2014_1109,2014_1109,McClureE,ILF,2/14/11,none,7,none,sBlood,14K20708,none,NIH_Leech_Microbiome,BBEZadults,EMbeat ,121214EM032715,2015_0413,LinA,23.7,Phusion,181405,McClureE,2015_0417,QIAxcel,1.77,150505_M00704_0036_000000000-AF8HF,16Sv4,287,519F/806R
BAa7dF110914EMcID14,BAa7dF110914EMc,Sample,A,Hverbana,BBEZ091014,,2014,BAa7dF110914EMc,BBEZ,McClureE,Animal,BBEZadults2014_1109,2014_1109,McClureE,ILF,2/14/11,none,7,none,sBlood,14K20708,none,NIH_Leech_Microbiome,BBEZadults,EMbeat ,121214EM032715,2015_0413,LinA,10.7,Phusion,181405,McClureE,2015_0417,QIAxcel,0.37,150505_M00704_0036_000000000-AF8HF,16Sv4,287,519F/806R
BAa0d2F020415EMaID88,BAa0d2F020415EMa,Sample,A,Hverbana,BBEZ091014,,2014,BAa0d2F020415EMa,BBEZ,McClureE,Animal,BBEZadults2015_0204,2015_0204,McClureE,ILF,2/14/11,4/15/02,94,0,sBlood,14K20708,15B52072,NIH_Leech_Microbiome,BBEZadults,EMbeat ,121214EM020415,2015_0225,LinA,0.605,Phusion,181405,McClureE,2015_0417,QIAxcel,3.21,150505_M00704_0036_000000000-AF8HF,16Sv4,287,519F/806R
